File Type,Content Git Url,Published Url
Content,docs-ref-autogen/operationsmanager/Data/Retrieve Performance Data.yml,https://review.docs.microsoft.com/en-us/rest/api/operationsmanager/data/retrieve%20performance%20data?branch=master
Content,docs-ref-autogen/operationsmanager/Data/Retrieve PowerShell Output.yml,https://review.docs.microsoft.com/en-us/rest/api/operationsmanager/data/retrieve%20powershell%20output?branch=master
Content,docs-ref-autogen/operationsmanager/Data/Retrieve Rule Information.yml,https://review.docs.microsoft.com/en-us/rest/api/operationsmanager/data/retrieve%20rule%20information?branch=master
Content,docs-ref-autogen/operationsmanager/Data/Retrieve Rules.yml,https://review.docs.microsoft.com/en-us/rest/api/operationsmanager/data/retrieve%20rules?branch=master
Content,docs-ref-autogen/operationsmanager/Data/Retrieve State Data.yml,https://review.docs.microsoft.com/en-us/rest/api/operationsmanager/data/retrieve%20state%20data?branch=master
Content,docs-ref-autogen/operationsmanager/Data/Retrieve State For Entity.yml,https://review.docs.microsoft.com/en-us/rest/api/operationsmanager/data/retrieve%20state%20for%20entity?branch=master
Content,docs-ref-autogen/operationsmanager/Data/Retrieve State Widget Columns.yml,https://review.docs.microsoft.com/en-us/rest/api/operationsmanager/data/retrieve%20state%20widget%20columns?branch=master
Content,docs-ref-autogen/operationsmanager/Data/Retrieve Task Result.yml,https://review.docs.microsoft.com/en-us/rest/api/operationsmanager/data/retrieve%20task%20result?branch=master
Content,docs-ref-autogen/operationsmanager/Data/Retrieve Tasks.yml,https://review.docs.microsoft.com/en-us/rest/api/operationsmanager/data/retrieve%20tasks?branch=master
Content,docs-ref-autogen/operationsmanager/Data/Retrieve Unsealed Management Packs.yml,https://review.docs.microsoft.com/en-us/rest/api/operationsmanager/data/retrieve%20unsealed%20management%20packs?branch=master
Content,docs-ref-autogen/operationsmanager/Data/Save Knowledge Article.yml,https://review.docs.microsoft.com/en-us/rest/api/operationsmanager/data/save%20knowledge%20article?branch=master
Content,docs-ref-autogen/operationsmanager/Data/Set Alert Resolution States.yml,https://review.docs.microsoft.com/en-us/rest/api/operationsmanager/data/set%20alert%20resolution%20states?branch=master
Content,docs-ref-autogen/operationsmanager/Data/Submit Task.yml,https://review.docs.microsoft.com/en-us/rest/api/operationsmanager/data/submit%20task?branch=master
Content,docs-ref-conceptual/operationsmanager/index.md,https://review.docs.microsoft.com/en-us/rest/api/operationsmanager/index?branch=master
