File Type,Content Git Url,Publish Url
Content,docs-ref-autogen/digital-twins/dataplane/Models/DigitalTwinModels_GetById.yml,https://review.docs.microsoft.com/en-us/rest/api/digital-twins/dataplane/models/digitaltwinmodels_getbyid?branch=master
Content,docs-ref-autogen/digital-twins/dataplane/Models/DigitalTwinModels_List.yml,https://review.docs.microsoft.com/en-us/rest/api/digital-twins/dataplane/models/digitaltwinmodels_list?branch=master
Content,docs-ref-autogen/digital-twins/dataplane/Models/DigitalTwinModels_Update.yml,https://review.docs.microsoft.com/en-us/rest/api/digital-twins/dataplane/models/digitaltwinmodels_update?branch=master
Content,docs-ref-autogen/digital-twins/dataplane/Query.yml,https://review.docs.microsoft.com/en-us/rest/api/digital-twins/dataplane/query?branch=master
Content,docs-ref-autogen/digital-twins/dataplane/Query/QueryTwins.yml,https://review.docs.microsoft.com/en-us/rest/api/digital-twins/dataplane/query/querytwins?branch=master
Content,docs-ref-autogen/digital-twins/dataplane/Twins.yml,https://review.docs.microsoft.com/en-us/rest/api/digital-twins/dataplane/twins?branch=master
Content,docs-ref-autogen/digital-twins/dataplane/Twins/DigitalTwins_Add.yml,https://review.docs.microsoft.com/en-us/rest/api/digital-twins/dataplane/twins/digitaltwins_add?branch=master
Content,docs-ref-autogen/digital-twins/dataplane/Twins/DigitalTwins_AddRelationship.yml,https://review.docs.microsoft.com/en-us/rest/api/digital-twins/dataplane/twins/digitaltwins_addrelationship?branch=master
Content,docs-ref-autogen/digital-twins/dataplane/Twins/DigitalTwins_Delete.yml,https://review.docs.microsoft.com/en-us/rest/api/digital-twins/dataplane/twins/digitaltwins_delete?branch=master
Content,docs-ref-autogen/digital-twins/dataplane/Twins/DigitalTwins_DeleteRelationship.yml,https://review.docs.microsoft.com/en-us/rest/api/digital-twins/dataplane/twins/digitaltwins_deleterelationship?branch=master
Content,docs-ref-autogen/digital-twins/dataplane/Twins/DigitalTwins_GetById.yml,https://review.docs.microsoft.com/en-us/rest/api/digital-twins/dataplane/twins/digitaltwins_getbyid?branch=master
Content,docs-ref-autogen/digital-twins/dataplane/Twins/DigitalTwins_GetComponent.yml,https://review.docs.microsoft.com/en-us/rest/api/digital-twins/dataplane/twins/digitaltwins_getcomponent?branch=master
Content,docs-ref-autogen/digital-twins/dataplane/Twins/DigitalTwins_GetRelationshipById.yml,https://review.docs.microsoft.com/en-us/rest/api/digital-twins/dataplane/twins/digitaltwins_getrelationshipbyid?branch=master
Content,docs-ref-autogen/digital-twins/dataplane/Twins/DigitalTwins_ListIncomingRelationships.yml,https://review.docs.microsoft.com/en-us/rest/api/digital-twins/dataplane/twins/digitaltwins_listincomingrelationships?branch=master
Content,docs-ref-autogen/digital-twins/dataplane/Twins/DigitalTwins_ListRelationships.yml,https://review.docs.microsoft.com/en-us/rest/api/digital-twins/dataplane/twins/digitaltwins_listrelationships?branch=master
Content,docs-ref-autogen/digital-twins/dataplane/Twins/DigitalTwins_SendComponentTelemetry.yml,https://review.docs.microsoft.com/en-us/rest/api/digital-twins/dataplane/twins/digitaltwins_sendcomponenttelemetry?branch=master
Content,docs-ref-autogen/digital-twins/dataplane/Twins/DigitalTwins_SendTelemetry.yml,https://review.docs.microsoft.com/en-us/rest/api/digital-twins/dataplane/twins/digitaltwins_sendtelemetry?branch=master
Content,docs-ref-autogen/digital-twins/dataplane/Twins/DigitalTwins_Update.yml,https://review.docs.microsoft.com/en-us/rest/api/digital-twins/dataplane/twins/digitaltwins_update?branch=master
Content,docs-ref-autogen/digital-twins/dataplane/Twins/DigitalTwins_UpdateComponent.yml,https://review.docs.microsoft.com/en-us/rest/api/digital-twins/dataplane/twins/digitaltwins_updatecomponent?branch=master
Content,docs-ref-autogen/digital-twins/dataplane/Twins/DigitalTwins_UpdateRelationship.yml,https://review.docs.microsoft.com/en-us/rest/api/digital-twins/dataplane/twins/digitaltwins_updaterelationship?branch=master
Toc,docs-ref-autogen/toc.md,https://review.docs.microsoft.com/en-us/rest/api/azure-digitaltwins/toc.json?branch=master
