File Type	File Name	Published Url
Content	docs-ref-autogen/azure-sphere/ErrorReporting/List.yml	https://review.docs.microsoft.com/en-us/rest/api/azure-sphere/errorreporting/list?branch=master
Content	docs-ref-autogen/azure-sphere/Image.yml	https://review.docs.microsoft.com/en-us/rest/api/azure-sphere/image?branch=master
Content	docs-ref-autogen/azure-sphere/Image/GetMetadata.yml	https://review.docs.microsoft.com/en-us/rest/api/azure-sphere/image/getmetadata?branch=master
Content	docs-ref-autogen/azure-sphere/Image/GetStatus.yml	https://review.docs.microsoft.com/en-us/rest/api/azure-sphere/image/getstatus?branch=master
Content	docs-ref-autogen/azure-sphere/Image/GetUrl.yml	https://review.docs.microsoft.com/en-us/rest/api/azure-sphere/image/geturl?branch=master
Content	docs-ref-autogen/azure-sphere/Image/ListComponentIds.yml	https://review.docs.microsoft.com/en-us/rest/api/azure-sphere/image/listcomponentids?branch=master
Content	docs-ref-autogen/azure-sphere/Image/Upload.yml	https://review.docs.microsoft.com/en-us/rest/api/azure-sphere/image/upload?branch=master
Content	index.md	https://review.docs.microsoft.com/en-us/rest/api/azure-sphere/index?branch=master
Content	docs-ref-autogen/azure-sphere/Product.yml	https://review.docs.microsoft.com/en-us/rest/api/azure-sphere/product?branch=master
Content	docs-ref-autogen/azure-sphere/Product/Create.yml	https://review.docs.microsoft.com/en-us/rest/api/azure-sphere/product/create?branch=master
Content	docs-ref-autogen/azure-sphere/Product/Delete.yml	https://review.docs.microsoft.com/en-us/rest/api/azure-sphere/product/delete?branch=master
Content	docs-ref-autogen/azure-sphere/Product/Get.yml	https://review.docs.microsoft.com/en-us/rest/api/azure-sphere/product/get?branch=master
Content	docs-ref-autogen/azure-sphere/Product/GetByName.yml	https://review.docs.microsoft.com/en-us/rest/api/azure-sphere/product/getbyname?branch=master
Content	docs-ref-autogen/azure-sphere/Product/List.yml	https://review.docs.microsoft.com/en-us/rest/api/azure-sphere/product/list?branch=master
Content	docs-ref-autogen/azure-sphere/Product/ListGroups.yml	https://review.docs.microsoft.com/en-us/rest/api/azure-sphere/product/listgroups?branch=master
Content	docs-ref-autogen/azure-sphere/Product/Patch.yml	https://review.docs.microsoft.com/en-us/rest/api/azure-sphere/product/patch?branch=master
Content	docs-ref-autogen/azure-sphere/Tenants.yml	https://review.docs.microsoft.com/en-us/rest/api/azure-sphere/tenants?branch=master
Content	docs-ref-autogen/azure-sphere/Tenants/(Deprecated)_List_Certificate_Chains.yml	https://review.docs.microsoft.com/en-us/rest/api/azure-sphere/tenants/(deprecated)_list_certificate_chains?branch=master
Content	docs-ref-autogen/azure-sphere/Tenants/(Deprecated)_List_Certificates.yml	https://review.docs.microsoft.com/en-us/rest/api/azure-sphere/tenants/(deprecated)_list_certificates?branch=master
Content	docs-ref-autogen/azure-sphere/Tenants/BlockLegacy.yml	https://review.docs.microsoft.com/en-us/rest/api/azure-sphere/tenants/blocklegacy?branch=master
Content	docs-ref-autogen/azure-sphere/Tenants/Create.yml	https://review.docs.microsoft.com/en-us/rest/api/azure-sphere/tenants/create?branch=master
Content	docs-ref-autogen/azure-sphere/Tenants/Get.yml	https://review.docs.microsoft.com/en-us/rest/api/azure-sphere/tenants/get?branch=master
Content	docs-ref-autogen/azure-sphere/Tenants/GetCertificate.yml	https://review.docs.microsoft.com/en-us/rest/api/azure-sphere/tenants/getcertificate?branch=master
Content	docs-ref-autogen/azure-sphere/Tenants/GetCertificateChain.yml	https://review.docs.microsoft.com/en-us/rest/api/azure-sphere/tenants/getcertificatechain?branch=master
Content	docs-ref-autogen/azure-sphere/Tenants/GetProofOfPossession.yml	https://review.docs.microsoft.com/en-us/rest/api/azure-sphere/tenants/getproofofpossession?branch=master
Content	docs-ref-autogen/azure-sphere/Tenants/ListCertificateMetadata.yml	https://review.docs.microsoft.com/en-us/rest/api/azure-sphere/tenants/listcertificatemetadata?branch=master
Content	docs-ref-autogen/azure-sphere/Tenants/Patch.yml	https://review.docs.microsoft.com/en-us/rest/api/azure-sphere/tenants/patch?branch=master
Toc	docs-ref-autogen/toc.md	https://review.docs.microsoft.com/en-us/rest/api/azure-sphere/toc.json?branch=master
